category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
TISSUES,BTO:0000058,Alimentary canal,26,2021,0.00056,0.0189,"ATP12A,CTSD,BCHE,EGFR,CA2,NPC1L1,FABP1,GLUL,RORC,HSP90AA1,CTSB,AKR1B10,SREBF2,NR1I3,TACR2,CA9,AKR1C3,AKR1C2,AKR1C1,IL6,CHEK1,FGFR1,NTRK1,NR1H4,PTPN11,CES2"
TISSUES,BTO:0000081,Reproductive system,60,6444,0.00062,0.0203,"CYP51A1,MAPK1,CSNK2A1,STS,SLC6A2,HSD17B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,CYP2C9,RORA,SLC6A4,KDR,POLB,CDK2,EGFR,SIGMAR1,CA2,PPARG,ACE,GLUL,F2,PPARD,PTPN2,PRKDC,HSD11B2,PGR,HSP90AA1,PTGES,ESR2,PDE4D,CTSB,PDE3A,HSD11B1,PTGS2,CYP17A1,PTPN1,AR,HSD17B3,F10,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,G6PD,CYP19A1,CHEK1,FGFR1,ESR1,TOP2A,EPHX2,NTRK1,SRD5A2,NR1H3,PTPN11,NR1H2,CES2"
TISSUES,BTO:0000138,Midbrain,5,104,0.00071,0.0203,"SLC6A4,SLC6A3,DRD2,OPRM1,HTR2A"
TISSUES,BTO:0000511,Gastrointestinal tract,24,1816,0.00065,0.0203,"ATP12A,CTSD,BCHE,CA2,NPC1L1,FABP1,GLUL,RORC,HSP90AA1,CTSB,AKR1B10,NR1I3,TACR2,CA9,AKR1C3,AKR1C2,AKR1C1,IL6,CHEK1,FGFR1,NTRK1,NR1H4,PTPN11,CES2"
TISSUES,BTO:0000594,Liver cancer cell,6,157,0.00067,0.0203,"MAPK14,MAPK3,MET,NR1I2,AKR1B10,SRD5A2"
TISSUES,BTO:0000746,Preadipocyte cell line,2,4,0.00061,0.0203,"FABP4,PPARG"
TISSUES,BTO:0000821,Nipple,2,4,0.00061,0.0203,"PGR,ESR1"
TISSUES,BTO:0001211,Breast epithelial cell,2,4,0.00061,0.0203,"PGR,ESR1"
TISSUES,BTO:0001248,T-47D cell,2,4,0.00061,0.0203,"PGR,ESR1"
TISSUES,BTO:0001570,MDA-MB-468 cell,2,4,0.00061,0.0203,"EGFR,ESR1"
TISSUES,BTO:0001932,BT-474 cell,2,4,0.00061,0.0203,"EGFR,ESR1"
TISSUES,BTO:0001996,Endometrial cell line,2,4,0.00061,0.0203,"SRD5A1,ESR1"
TISSUES,BTO:0003594,Hypnozoite,2,4,0.00061,0.0203,"G6PD,CYP2D6"
TISSUES,BTO:0006109,Uterine endometrial epithelium,2,4,0.00061,0.0203,"PGR,ESR1"
TISSUES,BTO:0000167,Adenocarcinoma cell line,5,107,0.0008,0.0218,"EGFR,PGR,NR1I2,AR,ESR1"
TISSUES,BTO:0000282,Head,61,6642,0.00079,0.0218,"CYP51A1,MAPK1,CSNK2A1,ATP12A,HSD17B1,CTSD,CDC25B,CHRM3,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,SLC6A3,SRD5A1,EGFR,SIGMAR1,HMGCR,ACE,ACHE,GLUL,F2,PPARD,PTPN2,PRKDC,MET,BACE1,NOS2,PDE2A,HSP90AA1,DYRK1A,PDE4D,CTSB,SREBF2,PTGS1,DRD2,PTPN1,ABL1,AR,GABBR1,AKR1C3,AKR1C2,AKR1C1,JAK2,MAPK8,PPARA,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,ESR1,NTRK1,TYK2,HTR2A,ABCB1,ADORA2A,PTPN11,NR1H2,CES2"
TISSUES,BTO:0000050,Zona fasciculata,2,5,0.00085,0.0226,"CYP11B1,CYP17A1"
TISSUES,BTO:0000056,Zona reticulata,2,5,0.00085,0.0226,"CYP11B1,CYP17A1"
TISSUES,BTO:0000149,Breast,8,300,0.00088,0.0226,"CYP2C9,SIGMAR1,F2,PGR,PTGES,ESR2,ESR1,NR1H2"
TISSUES,BTO:0000762,Lung cancer cell line,4,62,0.00088,0.0226,"EGFR,MET,FGFR1,TOP2A"
TISSUES,BTO:0001486,Skeletal system,19,1307,0.00086,0.0226,"CTSD,FLT3,FABP4,BCHE,PPARG,ACE,F2,ADAM17,RORC,NOS2,HSP90AA1,SERPINA6,CTSB,RPS6KA3,SHBG,AKR1C3,PDE7A,CHEK1,FGFR1"
TISSUES,BTO:0002290,Primary cell line,2,5,0.00085,0.0226,"AR,CYP19A1"
TISSUES,BTO:0002419,SK-BR-3 cell,2,5,0.00085,0.0226,"EGFR,ESR1"
TISSUES,BTO:0003350,BV-2 cell,2,5,0.00085,0.0226,"PTGS2,IL6"
TISSUES,BTO:0004178,Leukemic stem cell,2,5,0.00085,0.0226,"FLT3,ABL1"
TISSUES,BTO:0004701,Dorsal striatum,2,5,0.00085,0.0226,"SLC6A3,DRD2"
TISSUES,BTO:0001493,Trunk,16,1014,0.00098,0.0232,"ATP12A,CYP2C9,SIGMAR1,PPARG,F2,PGR,HSP90AA1,PTGES,ESR2,CTSB,PDE7A,IL6,CHEK1,ESR1,ADORA2A,NR1H2"
TISSUES,BTO:0001368,Thorax,12,640,0.0011,0.0248,"CYP2C9,SIGMAR1,F2,PGR,HSP90AA1,PTGES,ESR2,PDE7A,CHEK1,ESR1,ADORA2A,NR1H2"
TISSUES,BTO:0000212,Caudate putamen,2,6,0.0011,0.0261,"SLC6A3,DRD2"
TISSUES,BTO:0000938,Neuron,5,116,0.0011,0.0261,"SLC6A4,BCHE,SLC6A3,ACHE,DRD2"
TISSUES,BTO:0001314,Subcutis,2,6,0.0011,0.0261,"PPARG,IL6"
TISSUES,BTO:0002850,Theca cell,2,6,0.0011,0.0261,"CYP17A1,CYP19A1"
TISSUES,BTO:0003387,Raphe nucleus,2,6,0.0011,0.0261,"SLC6A4,HTR2A"
TISSUES,BTO:0003388,Tegmentum,2,6,0.0011,0.0261,"SLC6A3,DRD2"
TISSUES,BTO:0004902,Cholinergic neuron,2,6,0.0011,0.0261,"BCHE,ACHE"
TISSUES,BTO:0006245,Brain capillary endothelium,2,6,0.0011,0.0261,"IL6,ABCB1"
TISSUES,BTO:0000065,Amnion,2,7,0.0014,0.0308,"ABL1,IL6"
TISSUES,BTO:0006188,Arterial blood,2,7,0.0014,0.0308,"ACE,F2"
TISSUES,BTO:0000254,Female reproductive gland,33,3017,0.0016,0.0323,"CYP51A1,STS,SLC6A2,FLT3,CDC25B,CYP2C9,RORA,POLB,SIGMAR1,CA2,ACE,GLUL,F2,PTPN2,HSD11B2,PGR,HSP90AA1,PTGES,ESR2,CTSB,HSD11B1,CYP17A1,HSD17B3,F10,SHBG,AKR1C1,G6PD,CYP19A1,CHEK1,FGFR1,ESR1,NR1H2,CES2"
TISSUES,BTO:0001854,Vascular endothelial cell,4,74,0.0016,0.0333,"RORA,KDR,ACE,PDE4D"
TISSUES,BTO:0000755,Leydig cell,2,8,0.0018,0.0364,"CYP17A1,HSD17B3"
TISSUES,BTO:0001107,Preadipocyte,2,8,0.0018,0.0364,"FABP4,PPARG"
TISSUES,BTO:0001176,Endothelial cell,5,130,0.0018,0.0364,"RORA,KDR,ACE,PDE4D,PTGS2"
TISSUES,BTO:0003292,RAW-264.7 cell,2,8,0.0018,0.0364,"PTGS2,IL6"
TISSUES,BTO:0001085,Vascular system,9,420,0.0019,0.0365,"RORA,KDR,ACE,F2,PGR,HSP90AA1,PDE4D,PTGS2,IL6"
TISSUES,BTO:0000199,Cardiac muscle,4,79,0.0021,0.0392,"KCNH2,ACE,PDE3A,IL6"
TISSUES,BTO:0000011,3T3-L1 cell,2,9,0.0022,0.0412,"FABP4,PPARG"
TISSUES,BTO:0004041,Abdominal adipose tissue,2,9,0.0022,0.0412,"PPARG,IL6"
TISSUES,BTO:0005655,Th17 cell,2,9,0.0022,0.0412,"RORC,IL6"
TISSUES,BTO:0001102,Blood vessel,8,354,0.0024,0.045,"RORA,KDR,ACE,F2,PGR,PDE4D,PTGS2,IL6"
TISSUES,BTO:0000125,Blast cell,2,10,0.0026,0.0472,"FLT3,ABL1"
TISSUES,BTO:0000141,Bone marrow,10,528,0.0026,0.0472,"CTSD,FLT3,BCHE,PPARG,ACE,F2,SERPINA6,AKR1C3,CHEK1,FGFR1"
TISSUES,BTO:0000781,Intestinal epithelium,3,40,0.0027,0.0472,"NPC1L1,IL6,CHEK1"
TISSUES,BTO:0000782,T-lymphocyte,7,279,0.0026,0.0472,"MAPK14,PTPN2,RORC,HSP90AA1,RPS6KA3,IL6,PTPN11"
DISEASES,DOID:4,Disease,85,6291,1.77e-15,8.15e-12,"CYP51A1,STS,ATP12A,SLC6A2,CYP27B1,NR3C1,CTSD,FLT3,CHRM3,CYP2C9,RORA,SLC6A4,KCNH2,KDR,BCHE,CDK2,SLC6A3,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,NPC1L1,ACE,CYP11B1,ACHE,GLUL,F2,PLG,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,NOS2,CACNA1H,DYRK1A,SERPINA6,ESR2,PDE4D,CTSB,NR3C2,PDE3A,TOP1,DRD2,HSD11B1,CYP17A1,CYP2C19,ABL1,PLAU,AR,HSD17B3,F10,PIK3CD,CA9,POLA1,RPS6KA3,SHBG,AKR1C2,JAK2,DRD3,G6PD,CYP19A1,HCRTR1,PPARA,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,EPHX2,CA1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,ABCB1,PTPN11,CYP2D6,CES2"
DISEASES,DOID:7,Disease of anatomical entity,72,4798,1.65e-14,3.8e-11,"CYP51A1,STS,ATP12A,SLC6A2,CYP27B1,NR3C1,CTSD,FLT3,CHRM3,RORA,SLC6A4,KCNH2,KDR,CDK2,SLC6A3,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,NPC1L1,ACE,CYP11B1,ACHE,GLUL,F2,PLG,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,NOS2,CACNA1H,SERPINA6,ESR2,PDE4D,CTSB,NR3C2,TOP1,HSD11B1,CYP17A1,CYP2C19,ABL1,PLAU,AR,HSD17B3,F10,PIK3CD,CA9,POLA1,SHBG,JAK2,G6PD,CYP19A1,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,ESR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,ABCB1,PTPN11,CYP2D6,CES2"
DISEASES,DOID:150,Disease of mental health,22,435,1.82e-13,2.78e-10,"ATP12A,SLC6A2,NR3C1,SLC6A4,BCHE,SLC6A3,ACHE,BACE1,CACNA1H,DYRK1A,DRD2,HSD17B3,POLA1,RPS6KA3,DRD3,HCRTR1,OPRM1,CHRM2,ESR1,CA1,HTR2A,ABCB1"
DISEASES,DOID:1574,Alcohol use disorder,7,15,6.23e-11,7.16e-08,"SLC6A4,SLC6A3,DRD2,DRD3,OPRM1,CHRM2,HTR2A"
DISEASES,DOID:1923,Disorders of sexual development,8,45,1.68e-09,1.15e-06,"NR3C1,NR3C2,CYP17A1,AR,HSD17B3,SHBG,CYP19A1,SRD5A2"
DISEASES,DOID:28,Endocrine system disease,17,398,1.51e-09,1.15e-06,"CYP27B1,NR3C1,EGFR,CA2,CYP11B1,SERPINA6,NR3C2,HSD11B1,CYP17A1,AR,HSD17B3,SHBG,CYP19A1,IL6,FGFR1,ESR1,SRD5A2"
DISEASES,DOID:1561,Cognitive disorder,10,103,3.12e-09,1.76e-06,"NR3C1,SLC6A4,BCHE,SLC6A3,ACHE,BACE1,DRD2,ESR1,CA1,HTR2A"
DISEASES,DOID:303,Substance-related disorder,8,49,3.07e-09,1.76e-06,"SLC6A4,SLC6A3,DRD2,DRD3,OPRM1,CHRM2,HTR2A,ABCB1"
DISEASES,DOID:77,Gastrointestinal system disease,19,576,9.19e-09,4.22e-06,"ATP12A,SLC6A4,KDR,EGFR,NPC1L1,GLUL,F2,PTPN2,MET,ESR2,JAK2,CYP19A1,IL6,OPRM1,ESR1,TYK2,NR1H4,ABCB1,CES2"
DISEASES,DOID:3765,Pseudohermaphroditism,5,10,2.96e-08,1.23e-05,"NR3C1,AR,HSD17B3,CYP19A1,SRD5A2"
DISEASES,DOID:14566,Disease of cellular proliferation,25,1101,4.96e-08,1.9e-05,"ATP12A,FLT3,SLC6A4,KDR,CDK2,EGFR,CYP11B1,GLUL,MET,PGR,NR3C2,TOP1,ABL1,AR,CA9,SHBG,JAK2,CYP19A1,IL6,FGFR1,ESR1,NTRK1,SRD5A2,ABCB1,PTPN11"
DISEASES,DOID:1701,Steroid inherited metabolic disorder,5,16,1.94e-07,6.86e-05,"CYP11B1,HSD11B2,NR3C2,HSD11B1,CYP17A1"
DISEASES,DOID:850,Lung disease,10,178,3.99e-07,0.00013,"CYP51A1,ATP12A,EGFR,ACE,F2,PLG,MET,CYP2C19,IL6,CES2"
DISEASES,DOID:0050686,Organ system cancer,19,757,5.8e-07,0.00018,"ATP12A,FLT3,SLC6A4,KDR,CDK2,EGFR,MET,PGR,ABL1,AR,CA9,JAK2,CYP19A1,IL6,ESR1,NTRK1,SRD5A2,ABCB1,PTPN11"
DISEASES,DOID:2277,Gonadal disease,10,186,5.85e-07,0.00018,"NR3C1,NR3C2,CYP17A1,AR,HSD17B3,SHBG,CYP19A1,FGFR1,ESR1,SRD5A2"
DISEASES,DOID:9973,Substance dependence,6,42,6.32e-07,0.00018,"SLC6A4,SLC6A3,DRD2,DRD3,OPRM1,ABCB1"
DISEASES,DOID:0050117,Disease by infectious agent,13,368,1.15e-06,0.00029,"CYP51A1,ATP12A,CYP27B1,KDR,ACE,F2,PLG,CYP2C19,AKR1C2,G6PD,IL6,EPHX2,CES2"
DISEASES,DOID:9974,Drug dependence,5,26,1.54e-06,0.00037,"SLC6A3,DRD2,DRD3,OPRM1,ABCB1"
DISEASES,DOID:0060180,Colitis,5,27,1.82e-06,0.00042,"ATP12A,PTPN2,JAK2,IL6,ABCB1"
DISEASES,DOID:2914,Immune system disease,17,675,2.31e-06,0.00047,"ATP12A,CYP27B1,CA2,ACE,F2,PLG,PTPN2,PRKDC,ABL1,AR,PIK3CD,JAK2,IL6,TYK2,JAK3,NR1H4,ABCB1"
DISEASES,DOID:3118,Hepatobiliary disease,9,168,2.25e-06,0.00047,"ATP12A,EGFR,GLUL,F2,MET,JAK2,IL6,NR1H4,CES2"
DISEASES,DOID:5295,Intestinal disease,10,216,2.13e-06,0.00047,"ATP12A,SLC6A4,EGFR,NPC1L1,PTPN2,JAK2,IL6,OPRM1,TYK2,ABCB1"
DISEASES,DOID:1094,Attention deficit hyperactivity disorder,4,12,2.84e-06,0.00054,"SLC6A2,SLC6A4,SLC6A3,DRD2"
DISEASES,DOID:0050589,Inflammatory bowel disease,6,58,3.55e-06,0.00063,"ATP12A,PTPN2,JAK2,IL6,TYK2,ABCB1"
DISEASES,DOID:1287,Cardiovascular system disease,14,493,5.17e-06,0.00088,"ATP12A,SLC6A2,KCNH2,ACE,F2,PLG,HSD11B2,NOS2,NR3C2,F10,JAK2,IL6,PTPN11,CES2"
DISEASES,DOID:4367,Apparent mineralocorticoid excess syndrome,3,3,5.18e-06,0.00088,"HSD11B2,NR3C2,HSD11B1"
DISEASES,DOID:16,Integumentary system disease,15,575,6.33e-06,0.00097,"CYP51A1,STS,ATP12A,CYP27B1,CHRM3,EGFR,ACE,PGR,AR,POLA1,SHBG,G6PD,NTRK1,TYK2,SRD5A2"
DISEASES,DOID:162,Cancer,20,978,6.13e-06,0.00097,"ATP12A,FLT3,SLC6A4,KDR,CDK2,EGFR,MET,PGR,TOP1,ABL1,AR,CA9,JAK2,CYP19A1,IL6,ESR1,NTRK1,SRD5A2,ABCB1,PTPN11"
DISEASES,DOID:178,Vascular disease,10,249,7.14e-06,0.0011,"ATP12A,ACE,F2,PLG,HSD11B2,NOS2,NR3C2,F10,JAK2,IL6"
DISEASES,DOID:630,Genetic disease,46,3778,7.17e-06,0.0011,"STS,SLC6A2,CYP27B1,CTSD,CHRM3,CYP2C9,KCNH2,SIGMAR1,CA2,PPARG,NPC1L1,ACE,CYP11B1,F2,PLG,PRKDC,HSD11B2,DYRK1A,SERPINA6,ESR2,NR3C2,PDE3A,TOP1,HSD11B1,CYP17A1,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,SHBG,G6PD,CYP19A1,PPARA,IL6,TBXAS1,CHEK1,FGFR1,ESR1,NTRK1,TYK2,NR1H4,SRD5A2,ABCB1,PTPN11"
DISEASES,DOID:4674,Androgen insensitivity syndrome,3,4,9.03e-06,0.0013,"AR,HSD17B3,SRD5A2"
DISEASES,DOID:0060031,Autoimmune disease of gastrointestinal tract,5,41,1.15e-05,0.0015,"ATP12A,PTPN2,JAK2,NR1H4,ABCB1"
DISEASES,DOID:10652,Alzheimers disease,5,41,1.15e-05,0.0015,"CTSD,ACHE,BACE1,CTSB,IL6"
DISEASES,DOID:10763,Hypertension,5,41,1.15e-05,0.0015,"ACE,HSD11B2,NOS2,NR3C2,IL6"
DISEASES,DOID:345,Uterine disease,6,72,1.13e-05,0.0015,"SLC6A4,PGR,SHBG,CYP19A1,IL6,ESR1"
DISEASES,DOID:0060037,Developmental disorder of mental health,10,273,1.54e-05,0.0017,"ATP12A,SLC6A2,SLC6A4,SLC6A3,CACNA1H,DYRK1A,DRD2,POLA1,RPS6KA3,OPRM1"
DISEASES,DOID:0110066,Amelogenesis imperfecta type 1G,3,5,1.44e-05,0.0017,"ESR2,CYP19A1,ESR1"
DISEASES,DOID:1596,Mental depression,4,20,1.59e-05,0.0017,"SLC6A4,DRD2,ESR1,HTR2A"
DISEASES,DOID:2559,Opiate dependence,4,20,1.59e-05,0.0017,"DRD2,DRD3,OPRM1,ABCB1"
DISEASES,DOID:612,Primary immunodeficiency disease,13,470,1.5e-05,0.0017,"ATP12A,CYP27B1,CA2,F2,PTPN2,PRKDC,PIK3CD,JAK2,IL6,TYK2,JAK3,NR1H4,ABCB1"
DISEASES,DOID:74,Hematopoietic system disease,13,473,1.6e-05,0.0017,"ATP12A,CYP27B1,FLT3,F2,PLG,ABL1,PLAU,F10,JAK2,G6PD,IL6,TBXAS1,PTPN11"
DISEASES,DOID:0060903,Thrombosis,4,21,1.89e-05,0.0018,"F2,PLG,F10,IL6"
DISEASES,DOID:299,Adenocarcinoma,7,119,1.77e-05,0.0018,"ATP12A,KDR,EGFR,MET,PGR,AR,ESR1"
DISEASES,DOID:1307,Dementia,4,23,2.59e-05,0.0025,"BCHE,SLC6A3,ACHE,BACE1"
DISEASES,DOID:0050828,Artery disease,7,130,3.04e-05,0.0028,"ACE,F2,PLG,HSD11B2,NOS2,NR3C2,IL6"
DISEASES,DOID:1414,Ovarian dysfunction,4,24,3.01e-05,0.0028,"AR,SHBG,CYP19A1,ESR1"
DISEASES,DOID:0060038,Specific developmental disorder,9,238,3.29e-05,0.003,"ATP12A,SLC6A2,SLC6A4,SLC6A3,DYRK1A,DRD2,POLA1,RPS6KA3,OPRM1"
DISEASES,DOID:1247,Blood coagulation disease,6,89,3.5e-05,0.0031,"F2,PLG,PLAU,F10,JAK2,TBXAS1"
DISEASES,DOID:0050741,Alcohol dependence,3,8,4.18e-05,0.0035,"SLC6A4,DRD2,OPRM1"
DISEASES,DOID:37,Skin disease,13,518,4.02e-05,0.0035,"CYP51A1,STS,ATP12A,CYP27B1,CHRM3,EGFR,ACE,PGR,POLA1,SHBG,G6PD,NTRK1,TYK2"
DISEASES,DOID:4079,Heart valve disease,4,26,3.99e-05,0.0035,"ACE,PLG,IL6,PTPN11"
DISEASES,DOID:417,Autoimmune disease,10,317,5.28e-05,0.0043,"ATP12A,CYP27B1,CA2,F2,PTPN2,JAK2,IL6,TYK2,NR1H4,ABCB1"
DISEASES,DOID:1595,Endogenous depression,3,9,5.54e-05,0.0044,"SLC6A4,DRD2,ESR1"
DISEASES,DOID:2871,Endometrial carcinoma,3,9,5.54e-05,0.0044,"PGR,CYP19A1,ESR1"
DISEASES,DOID:409,Liver disease,6,97,5.52e-05,0.0044,"GLUL,F2,JAK2,IL6,NR1H4,CES2"
DISEASES,DOID:114,Heart disease,9,270,8.42e-05,0.0063,"SLC6A2,KCNH2,ACE,F2,PLG,NR3C2,IL6,PTPN11,CES2"
DISEASES,DOID:3312,Bipolar disorder,3,11,9.08e-05,0.0067,"SLC6A4,DRD2,HTR2A"
DISEASES,DOID:557,Kidney disease,9,275,9.64e-05,0.007,"ATP12A,CYP27B1,CA2,ACE,F2,MET,NR3C2,CA9,IL6"
DISEASES,DOID:657,Adenoma,5,66,9.6e-05,0.007,"CYP11B1,GLUL,PGR,NR3C2,ESR1"
DISEASES,DOID:1398,Parasitic infectious disease,5,68,0.00011,0.0077,"CYP51A1,KDR,AKR1C2,G6PD,CES2"
DISEASES,DOID:10937,Impulse control disorder,3,12,0.00011,0.0079,"SLC6A4,SLC6A3,DRD2"
DISEASES,DOID:8719,In situ carcinoma,3,13,0.00014,0.0095,"EGFR,PGR,ESR1"
DISEASES,DOID:0060095,Uterine benign neoplasm,3,14,0.00017,0.011,"PGR,SHBG,ESR1"
DISEASES,DOID:65,Connective tissue disease,15,774,0.00018,0.0114,"ATP12A,CYP27B1,ADRA2A,CA2,PPARG,PLG,PTPN2,PDE4D,IL6,FGFR1,ESR1,NTRK1,TYK2,PTPN11,CES2"
DISEASES,DOID:0080208,Non-alcoholic fatty liver disease,3,15,0.0002,0.0127,"PPARG,PPARA,NR1H4"
DISEASES,DOID:305,Carcinoma,9,307,0.00021,0.0133,"ATP12A,KDR,EGFR,MET,PGR,AR,CA9,CYP19A1,ESR1"
DISEASES,DOID:8577,Ulcerative colitis,3,16,0.00024,0.0145,"PTPN2,JAK2,ABCB1"
DISEASES,DOID:0090122,Aromatase excess syndrome,2,2,0.00025,0.0147,"SHBG,CYP19A1"
DISEASES,DOID:11512,Budd-Chiari syndrome,2,2,0.00025,0.0147,"F2,JAK2"
DISEASES,DOID:14336,Estrogen excess,2,2,0.00025,0.0147,"CYP19A1,ESR1"
DISEASES,DOID:778,Delusional disorder,2,2,0.00025,0.0147,"BCHE,HTR2A"
DISEASES,DOID:363,Uterine cancer,4,46,0.0003,0.0172,"SLC6A4,PGR,CYP19A1,ESR1"
DISEASES,DOID:229,Female reproductive system disease,7,192,0.00031,0.0176,"SLC6A4,PGR,AR,SHBG,CYP19A1,IL6,ESR1"
DISEASES,DOID:2218,Blood platelet disease,4,47,0.00033,0.0181,"F2,PLAU,JAK2,TBXAS1"
DISEASES,DOID:4960,Bone marrow cancer,4,47,0.00033,0.0181,"FLT3,ABL1,JAK2,PTPN11"
DISEASES,DOID:0050177,Monogenic disease,37,3266,0.00037,0.02,"STS,SLC6A2,CYP27B1,CTSD,CHRM3,CYP2C9,KCNH2,SIGMAR1,CA2,PPARG,NPC1L1,CYP11B1,F2,PLG,PRKDC,DYRK1A,SERPINA6,ESR2,NR3C2,PDE3A,TOP1,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,CYP19A1,TBXAS1,CHEK1,FGFR1,ESR1,NTRK1,TYK2,NR1H4,SRD5A2,PTPN11"
DISEASES,DOID:104,Bacterial infectious disease,6,140,0.00037,0.02,"ATP12A,CYP27B1,ACE,PLG,IL6,EPHX2"
DISEASES,DOID:0050073,Invasive aspergillosis,2,3,0.00041,0.0216,"CYP51A1,CYP2C19"
DISEASES,DOID:0050856,Oppositional defiant disorder,2,3,0.00041,0.0216,"SLC6A4,SLC6A3"
DISEASES,DOID:0060075,Estrogen-receptor positive breast cancer,2,3,0.00041,0.0216,"CYP19A1,ESR1"
DISEASES,DOID:0080365,Endometrial hyperplasia,2,3,0.00041,0.0216,"PGR,ESR1"
DISEASES,DOID:12698,Gynecomastia,2,3,0.00041,0.0216,"NR3C2,AR"
DISEASES,DOID:14464,Neuroleptic malignant syndrome,2,3,0.00041,0.0216,"HTR2A,CYP2D6"
DISEASES,DOID:2222,Factor X deficiency,2,3,0.00041,0.0216,"F2,F10"
DISEASES,DOID:2870,Endometrial adenocarcinoma,2,3,0.00041,0.0216,"PGR,ESR1"
DISEASES,DOID:749,Active peptic ulcer disease,2,3,0.00041,0.0216,"ATP12A,F2"
DISEASES,DOID:809,Cocaine abuse,2,3,0.00041,0.0216,"SLC6A4,SLC6A3"
DISEASES,DOID:10273,Heart conduction disease,4,55,0.00057,0.0269,"SLC6A2,KCNH2,ACE,NR3C2"
DISEASES,DOID:0014667,Disease of metabolism,17,1076,0.00067,0.028,"CTSD,CYP2C9,PPARG,ACE,CYP11B1,F2,HSD11B2,NR3C2,DRD2,HSD11B1,CYP17A1,SHBG,G6PD,PPARA,IL6,NR1H4,ABCB1"
DISEASES,DOID:0060074,Ductal carcinoma in situ,2,4,0.00061,0.028,"PGR,ESR1"
DISEASES,DOID:0080374,Gastroesophageal cancer,2,4,0.00061,0.028,"KDR,EGFR"
DISEASES,DOID:10272,Left bundle branch hemiblock,2,4,0.00061,0.028,"ACE,NR3C2"
DISEASES,DOID:1074,Kidney failure,3,23,0.00061,0.028,"ACE,F2,IL6"
DISEASES,DOID:12399,Pathological gambling,2,4,0.00061,0.028,"SLC6A3,DRD2"
DISEASES,DOID:14067,Plasmodium falciparum malaria,2,4,0.00061,0.028,"AKR1C2,G6PD"
DISEASES,DOID:2030,Anxiety disorder,3,23,0.00061,0.028,"NR3C1,SLC6A4,HTR2A"
DISEASES,DOID:3010,Lobular neoplasia,2,4,0.00061,0.028,"PGR,ESR1"
DISEASES,DOID:3457,Invasive lobular carcinoma,2,4,0.00061,0.028,"PGR,ESR1"
DISEASES,DOID:8029,Sporadic breast cancer,2,4,0.00061,0.028,"PGR,ESR1"
DISEASES,DOID:9651,Systolic heart failure,2,4,0.00061,0.028,"ACE,NR3C2"
DISEASES,DOID:8778,Crohns disease,3,24,0.00069,0.0282,"ATP12A,JAK2,TYK2"
DISEASES,DOID:0050338,Primary bacterial infectious disease,5,105,0.00074,0.03,"CYP27B1,ACE,PLG,IL6,EPHX2"
DISEASES,DOID:6000,Congestive heart failure,3,25,0.00077,0.0308,"KCNH2,ACE,NR3C2"
DISEASES,DOID:9352,Type 2 diabetes mellitus,3,25,0.00077,0.0308,"PPARG,PPARA,IL6"
DISEASES,DOID:331,Central nervous system disease,18,1199,0.00083,0.0322,"CYP27B1,CTSD,RORA,SLC6A3,EGFR,SIGMAR1,ACE,ACHE,F2,PRKDC,BACE1,CACNA1H,CTSB,AR,IL6,CHEK1,FGFR1,CES2"
DISEASES,DOID:0050801,Androgenic alopecia,2,5,0.00085,0.0328,"AR,SRD5A2"
DISEASES,DOID:0050830,Peripheral artery disease,2,5,0.00085,0.0328,"ACE,PLG"
DISEASES,DOID:0060224,Atrial fibrillation,3,26,0.00085,0.0328,"KCNH2,ACE,NR3C2"
DISEASES,DOID:10914,Amnestic disorder,2,5,0.00085,0.0328,"ACHE,CA1"
DISEASES,DOID:12704,Ataxia telangiectasia,2,5,0.00085,0.0328,"PRKDC,CHEK1"
DISEASES,DOID:1612,Breast cancer,4,62,0.00088,0.0328,"EGFR,PGR,CYP19A1,ESR1"
DISEASES,DOID:1614,Male breast cancer,2,5,0.00085,0.0328,"PGR,ESR1"
DISEASES,DOID:193,Reproductive organ cancer,6,167,0.00091,0.0328,"SLC6A4,PGR,AR,CYP19A1,ESR1,SRD5A2"
DISEASES,DOID:2473,Opportunistic mycosis,3,27,0.00094,0.0328,"CYP51A1,ATP12A,CYP2C19"
DISEASES,DOID:3008,Invasive ductal carcinoma,2,5,0.00085,0.0328,"PGR,ESR1"
DISEASES,DOID:5844,Myocardial infarction,3,27,0.00094,0.0328,"ACE,PLG,IL6"
DISEASES,DOID:6741,Bilateral breast cancer,2,5,0.00085,0.0328,"PGR,ESR1"
